WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
280.0,3.0,4.0,,,,,1026.0,11.2,18.4,-0.3,,-0.8,
270.0,2.0,3.0,,,,,1026.2,11.3,18.4,-0.4,,,
280.0,2.0,3.0,0.2,,3.8,,1026.0,11.4,18.4,-0.6,,,
280.0,2.0,4.0,,,,,1026.2,11.3,18.4,-0.8,,,
280.0,2.0,3.0,,,,,1026.5,11.4,18.4,-0.6,,,
280.0,3.0,4.0,0.2,,4.0,,1026.5,11.4,18.4,0.0,,,
280.0,3.0,5.0,,,,,1026.6,11.5,18.4,0.4,,0.9,
280.0,3.0,4.0,0.2,,3.8,,1026.7,11.5,18.4,0.9,,,
280.0,2.0,4.0,0.2,,3.8,,1026.7,11.4,18.4,1.1,,,
280.0,2.0,3.0,,,,,1026.8,11.5,18.4,2.1,,,
270.0,1.0,3.0,0.2,,4.1,,1027.1,11.6,18.4,2.1,,,
280.0,1.0,3.0,,,,,1027.0,11.6,18.5,1.7,,1.6,
310.0,1.0,2.0,0.2,,4.2,,1027.0,11.8,18.5,1.7,,,
320.0,1.0,3.0,0.2,,4.2,,1027.1,12.0,18.5,1.8,,,
350.0,2.0,3.0,,,,,1027.1,12.2,,1.5,,,
340.0,3.0,4.0,,,,,1027.2,12.5,18.5,1.0,,,
10.0,4.0,5.0,0.2,,4.3,,1027.2,12.8,18.5,1.5,,,
360.0,5.0,6.0,,,,,1027.4,13.1,18.6,0.9,,1.5,
10.0,6.0,8.0,0.2,,4.2,,1027.4,13.3,18.6,0.4,,,
10.0,6.0,7.0,0.2,,4.2,,1027.5,13.3,18.6,0.4,,,
10.0,6.0,8.0,,,,,1027.6,13.4,18.6,-0.2,,,
10.0,6.0,8.0,,,,,1027.8,13.3,18.6,0.2,,,
20.0,6.0,8.0,0.2,,3.0,,1027.9,13.4,18.6,0.9,,,
20.0,6.0,8.0,,,,,1027.9,13.3,18.6,0.8,,1.3,
20.0,7.0,9.0,0.3,,2.8,356.0,1028.0,13.2,18.6,0.5,,,
20.0,7.0,9.0,0.3,2.0,2.8,356.0,1028.1,13.2,18.6,1.0,,,
20.0,7.0,9.0,,,,,1028.1,13.1,18.6,1.0,,,
20.0,7.0,9.0,,,,,1028.2,13.0,18.6,0.5,,,
30.0,7.0,9.0,0.4,3.0,2.9,359.0,1028.2,13.0,18.6,0.6,,,
20.0,7.0,9.0,,,,,1028.4,13.1,18.6,1.7,,1.1,
20.0,7.0,9.0,0.5,,3.1,25.0,1028.5,12.9,18.6,0.3,,,
20.0,7.0,9.0,0.5,3.0,3.1,25.0,1028.5,12.9,18.6,0.7,,,
30.0,7.0,9.0,,,,,1028.6,12.8,18.6,0.9,,,
20.0,7.0,9.0,,,,,1028.7,12.6,18.6,1.0,,,
30.0,7.0,8.0,0.6,4.0,3.2,39.0,1028.8,12.7,18.6,1.5,,,
30.0,6.0,8.0,,,,,1029.0,12.6,18.6,1.1,,1.5,
30.0,6.0,8.0,,,,,1029.0,12.6,18.7,1.7,,,
30.0,6.0,7.0,0.5,4.0,3.3,46.0,1029.0,12.5,18.7,2.1,,,
30.0,6.0,8.0,,,,,1029.0,12.6,18.7,2.2,,,
30.0,6.0,8.0,,,,,1029.0,12.3,18.7,1.3,,,
40.0,6.0,8.0,0.5,4.0,3.2,45.0,1029.0,12.3,18.7,1.4,,,
40.0,6.0,7.0,,,,,1029.1,12.3,18.7,1.6,,1.1,
40.0,5.0,7.0,0.5,,3.3,46.0,1029.2,12.2,18.7,1.0,,,
40.0,5.0,7.0,0.5,4.0,3.3,46.0,1029.3,12.5,18.7,2.3,,,
50.0,5.0,6.0,,,,,1029.5,12.2,18.7,1.3,,,
40.0,5.0,6.0,,,,,1029.5,12.2,18.7,0.5,,,
40.0,5.0,6.0,0.5,4.0,3.3,63.0,1029.5,12.2,18.6,1.0,,,
60.0,4.0,6.0,,,,,1029.6,12.1,18.6,0.9,,1.2,
40.0,5.0,7.0,0.5,,3.3,66.0,1029.5,12.3,18.6,1.6,,,
40.0,4.0,6.0,0.5,4.0,3.3,66.0,1029.5,12.2,18.6,1.0,,,
50.0,5.0,6.0,,,,,1029.5,12.2,18.6,0.9,,,
50.0,5.0,6.0,0.4,,3.3,65.0,1029.5,12.2,18.6,0.8,,,
50.0,4.0,6.0,0.4,4.0,3.3,65.0,1029.4,12.2,18.6,0.4,,,
40.0,4.0,6.0,,,,,1029.5,12.2,18.6,0.7,,0.5,
40.0,4.0,6.0,,,,,1029.4,12.2,18.6,0.5,,,
40.0,4.0,6.0,0.4,4.0,3.3,62.0,1029.5,12.2,18.6,0.1,,,
50.0,4.0,6.0,,,,,1029.5,12.3,18.6,0.8,,,
40.0,4.0,6.0,,,,,1029.5,12.2,18.6,0.4,,,
